state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
12,6,221,2007,18251244,.0015982568,.4917624,3.8,0,0
12,7,211,2007,18251244,.0015986635,.4917624,4,0,0
12,8,228,2007,18251244,.0016016006,.4917624,4.0999999,0,0
12,9,205,2007,18251244,.0015971989,.4917624,4.1999998,0,0
12,10,240,2007,18251244,.0015937894,.4917624,4.4000001,0,0
12,11,245,2007,18251244,.0015843789,.4917624,4.5,0,0
12,12,262,2007,18251244,.0015854426,.4917624,4.5999999,0,0
12,13,236,2008,18328340,.0024445707,.49195111,4.8000002,0,0
12,14,223,2008,18328340,.0024374919,.49195111,4.9000001,0,0
12,15,253,2008,18328340,.0024165448,.49195111,5.0999999,0,0
12,16,234,2008,18328340,.0024019773,.49195111,5.4000001,0,0
12,17,252,2008,18328340,.0023819194,.49195111,5.6999998,0,0
12,18,234,2008,18328340,.0023581563,.49195111,5.9000001,0,0
12,19,199,2008,18328340,.0023458384,.49195111,6.1999998,0,0
12,20,207,2008,18328340,.0023552394,.49195111,6.5,0,0
12,21,223,2008,18328340,.0023585011,.49195111,6.8000002,0,0
12,22,236,2008,18328340,.0023825683,.49195111,7.1999998,0,0
12,23,238,2008,18328340,.0024290925,.49195111,7.5999999,0,0
12,24,228,2008,18328340,.0024544778,.49195111,8.1000004,0,0
12,25,205,2009,18537968,.0025054109,.49217507,8.6000004,0,0
12,26,198,2009,18537968,.0024930134,.49217507,9.1000004,0,0
12,27,224,2009,18537968,.0024869656,.49217507,9.5,0,0
12,28,214,2009,18537968,.0024807728,.49217507,9.8000002,0,0
12,29,195,2009,18537968,.002473627,.49217507,10,0,0
12,30,189,2009,18537968,.00245256,.49217507,10.1,0,0
12,31,170,2009,18537968,.0024564548,.49217507,10.2,0,0
12,32,180,2009,18537968,.0024509577,.49217507,10.3,0,0
12,33,162,2009,18537968,.0024494256,.49217507,10.5,0,0
12,34,209,2009,18537968,.0024470687,.49217507,10.8,0,0
12,35,209,2009,18537968,.0024453381,.49217507,11,0,0
12,36,214,2009,18537968,.0024496524,.49217507,11.2,0,0
12,37,193,2010,18843326,.0024413094,.48899999,11.3,0,0
12,38,186,2010,18843326,.002440701,.48899999,11.4,0,0
12,39,209,2010,18843326,.0024307198,.48899999,11.4,0,0
12,40,179,2010,18843326,.0024265053,.48899999,11.4,0,0
